year	month	day	site	ditch
2005	4	19	2	204
2005	4	19	3	55
2005	4	19	4	66
2005	4	.	5	.
2005	4	20	6	90
2005	4	19	7	.
2005	4	20	8	324
2005	4	21	9	179
2005	4	19	10	375
2005	4	19	11	114
2005	4	19	12	114
2005	4	20	13	217
2005	4	19	14	.
2005	4	19	15	66
2005	4	19	16	66
2005	4	20	17	90
2005	4	19	18	123
2005	4	19	19	123
2005	4	20	20	283
2005	4	19	21	375
2005	4	19	22	114
2005	5	17	1	446
2005	5	17	2	201
2005	5	17	3	28
2005	5	17	4	.
2005	5	.	5	.
2005	5	18	6	85
2005	5	17	7	432
2005	5	18	8	307
2005	5	19	9	170
2005	5	17	10	446
2005	5	.	11	.
2005	5	.	12	.
2005	5	20	13	.
2005	5	17	14	.
2005	5	17	15	67
2005	5	17	16	67
2005	5	18	17	85
2005	5	17	18	104
2005	5	17	19	104
2005	5	.	20	.
2005	5	17	21	446
2005	5	17	22	114
2005	6	21	1	366
2005	6	21	2	196
2005	6	21	3	19
2005	6	21	4	76
2005	6	.	5	.
2005	6	22	6	94
2005	6	21	7	343
2005	6	21	8	316
2005	6	23	9	170
2005	6	21	10	366
2005	6	21	11	115
2005	6	21	12	115
2005	6	.	13	.
2005	6	21	14	.
2005	6	21	15	74
2005	6	21	16	74
2005	6	22	17	94
2005	6	21	18	141
2005	6	21	19	141
2005	6	21	20	214
2005	6	21	21	366
2005	6	21	22	114
2005	7	19	1	345
2005	7	19	2	211
2005	7	19	3	17
2005	7	19	4	84
2005	7	.	5	.
2005	7	20	6	130
2005	7	19	7	379
2005	7	21	8	330
2005	7	21	9	158
2005	7	19	10	345
2005	7	19	11	115
2005	7	20	12	115
2005	7	20	13	230
2005	7	18	14	.
2005	7	19	15	84
2005	7	19	16	84
2005	7	20	17	130
2005	7	19	18	140
2005	7	19	19	140
2005	7	19	20	214
2005	7	19	21	342.5
2005	7	19	22	115
2005	8	16	1	369
2005	8	16	2	208
2005	8	17	3	51
2005	8	16	4	86
2005	8	.	5	.
2005	8	16	6	124
2005	8	17	7	385
2005	8	16	8	321
2005	8	19	9	168
2005	8	16	10	369
2005	8	16	11	.
2005	8	16	12	.
2005	8	16	13	235
2005	8	16	14	.
2005	8	16	15	86
2005	8	16	16	86
2005	8	15	17	124
2005	8	17	18	148
2005	8	17	19	148
2005	8	16	20	255
2005	8	16	21	369
2005	8	16	22	117
2005	9	20	1	358
2005	9	20	2	210
2005	9	20	3	55
2005	9	20	4	94.5
2005	9	.	5	.
2005	9	21	6	104
2005	9	20	7	385
2005	9	20	8	328
2005	9	22	9	287
2005	9	20	10	353
2005	9	20	11	.
2005	9	20	12	.
2005	9	20	13	256
2005	9	20	14	.
2005	9	20	15	94.5
2005	9	20	16	94.5
2005	9	21	17	104
2005	9	19	18	221
2005	9	19	19	221
2005	9	20	20	300
2005	9	21	21	.
2005	9	21	22	.
2005	10	.	1	.
2005	10	18	2	220
2005	10	18	3	50
2005	10	18	4	.
2005	10	.	5	.
2005	10	18	6	115
2005	10	18	7	388
2005	10	19	8	324
2005	10	20	9	189
2005	10	19	10	364
2005	10	18	11	.
2005	10	18	12	.
2005	10	18	13	235
2005	10	18	14	.
2005	10	18	15	84
2005	10	18	16	84
2005	10	18	17	114
2005	10	18	18	220.5
2005	10	18	19	220.5
2005	10	19	20	295
2005	10	19	21	.
2005	10	19	22	.
2005	11	16	1	386
2005	11	15	2	231
2005	11	15	3	50
2005	11	15	4	89
2005	11	.	5	.
2005	11	16	6	126
2005	11	15	7	387
2005	11	15	8	.
2005	11	17	9	190
2005	11	15	10	380
2005	11	15	11	113
2005	11	15	12	113
2005	11	15	13	176
2005	11	15	14	.
2005	11	15	15	89
2005	11	15	16	89
2005	11	16	17	126
2005	11	16	18	283
2005	11	16	19	283
2005	11	15	20	255
2005	11	17	21	.
2005	11	17	22	.
2005	12	20	1	228
2005	12	20	2	252
2005	12	20	3	67
2005	12	21	4	85
2005	12	.	5	.
2005	12	19	6	.
2005	12	21	7	.
2005	12	20	8	414
2005	12	20	9	.
2005	12	20	10	228
2005	12	20	11	115
2005	12	20	12	115
2005	12	19	13	.
2005	12	20	14	.
2005	12	19	15	88
2005	12	19	16	88
2005	12	19	17	.
2005	12	19	18	297
2005	12	19	19	297
2005	12	19	20	299
2005	12	20	21	.
2005	12	19	22	115
2006	1	18	1	290
2006	1	17	2	253
2006	1	17	3	61
2006	1	17	4	90
2006	1	.	5	.
2006	1	17	6	116
2006	1	17	7	302
2006	1	18	8	400
2006	1	19	9	.
2006	1	18	10	305
2006	1	17	11	117
2006	1	17	12	117
2006	1	17	13	275
2006	1	17	14	.
2006	1	17	15	91
2006	1	17	16	91
2006	1	17	17	123
2006	1	19	18	297
2006	1	19	19	297
2006	1	18	20	300
2006	1	18	21	290
2006	1	18	22	113
2006	2	22	1	290
2006	2	21	2	252
2006	2	21	3	58
2006	2	21	4	93
2006	2	.	5	.
2006	2	21	6	122
2006	2	21	7	303
2006	2	21	8	407
2006	2	23	9	.
2006	2	22	10	296
2006	2	21	11	117
2006	2	21	12	117
2006	2	21	13	295
2006	2	21	14	.
2006	2	21	15	93.5
2006	2	21	16	93.5
2006	2	21	17	119
2006	2	21	18	298
2006	2	21	19	298
2006	2	22	20	286
2006	2	21	21	297
2006	2	21	22	115
2006	3	21	1	345
2006	3	20	2	208
2006	3	21	3	.
2006	3	21	4	91
2006	3	.	5	.
2006	3	22	6	124
2006	3	21	7	303
2006	3	21	8	361
2006	3	23	9	.
2006	3	21	10	345
2006	3	23	11	112
2006	3	23	12	112
2006	3	21	13	239
2006	3	21	14	180
2006	3	21	15	89
2006	3	21	16	89
2006	3	22	17	124
2006	3	21	18	130
2006	3	21	19	130
2006	3	22	20	248
2006	3	21	21	345
2006	3	21	22	114
2006	4	18	1	345
2006	4	18	2	214
2006	4	18	3	38
2006	4	18	4	85
2006	4	.	5	.
2006	4	19	6	104
2006	4	18	7	350
2006	4	18	8	320
2006	4	20	9	.
2006	4	19	10	348
2006	4	18	11	114
2006	4	18	12	114
2006	4	18	13	260
2006	4	18	14	162
2006	4	18	15	90
2006	4	18	16	90
2006	4	19	17	104
2006	4	19	18	79
2006	4	19	19	79
2006	4	19	20	252
2006	4	18	21	348
2006	4	18	22	113
2006	5	17	1	342
2006	5	16	2	211
2006	5	16	3	37.5
2006	5	16	4	80
2006	5	.	5	.
2006	5	16	6	108
2006	5	16	7	388
2006	5	16	8	310
2006	5	18	9	173
2006	5	17	10	342
2006	5	16	11	113
2006	5	16	12	113
2006	5	16	13	213
2006	5	16	14	193
2006	5	16	15	80
2006	5	16	16	80
2006	5	16	17	108
2006	5	15	18	63.5
2006	5	15	19	63.5
2006	5	16	20	236
2006	5	17	21	342
2006	5	17	22	115
2006	6	20	1	344
2006	6	20	2	219
2006	6	22	3	0
2006	6	20	4	65.5
2006	6	.	5	.
2006	6	20	6	114
2006	6	21	7	375
2006	6	21	8	316
2006	6	20	9	174
2006	6	20	10	344
2006	6	20	11	116
2006	6	20	12	116
2006	6	20	13	236
2006	6	20	14	173
2006	6	20	15	65.5
2006	6	20	16	65.5
2006	6	20	17	114
2006	6	20	18	111
2006	6	20	19	111
2006	6	21	20	255
2006	6	21	21	344
2006	6	21	22	116
2006	7	18	1	336
2006	7	18	2	213
2006	7	20	3	0
2006	7	18	4	80
2006	7	.	5	.
2006	7	.	6	.
2006	7	18	7	391
2006	7	19	8	338
2006	7	18	9	72
2006	7	18	10	336
2006	7	18	11	.
2006	7	18	12	116
2006	7	18	13	220
2006	7	19	14	198
2006	7	18	15	80
2006	7	18	16	80
2006	7	19	17	96
2006	7	18	18	185
2006	7	18	19	185
2006	7	18	20	259
2006	7	19	21	296
2006	7	19	22	116
2006	8	16	1	329.5
2006	8	15	2	220
2006	8	15	3	73
2006	8	15	4	80.5
2006	8	.	5	.
2006	8	15	6	105
2006	8	15	7	308
2006	8	15	8	345
2006	8	16	9	180
2006	8	16	10	329.5
2006	8	15	11	117
2006	8	15	12	117
2006	8	15	13	235
2006	8	15	14	234
2006	8	15	15	80.5
2006	8	15	16	80.5
2006	8	15	17	105
2006	8	15	18	99.5
2006	8	15	19	99.5
2006	8	15	21	.
2006	8	15	22	117
2006	9	20	1	348
2006	9	19	2	223
2006	9	19	3	74
2006	9	18	4	94
2006	9	.	5	.
2006	9	22	6	105
2006	9	19	7	360
2006	9	19	8	335
2006	9	21	9	168
2006	9	20	10	345
2006	9	21	11	116.5
2006	9	21	12	116.5
2006	9	19	13	253
2006	9	19	14	203
2006	9	18	15	94
2006	9	19	16	94
2006	9	19	17	104
2006	9	20	18	166.5
2006	9	20	19	166.5
2006	9	19	20	264
2006	9	21	21	311.5
2006	9	20	22	116
2006	10	19	1	347
2006	10	17	2	216
2006	10	18	3	0
2006	10	16	4	80
2006	10	.	5	.
2006	10	18	6	97
2006	10	20	7	305
2006	10	18	8	.
2006	10	19	9	168
2006	10	16	10	348
2006	10	19	11	115
2006	10	19	12	115
