year	month	day	site	northwell	eastwell	centerwell	southwell	westwell	NorthCaseHeight	EastCaseHeight	CenterCaseHeight	SouthCaseHeight	WestCaseHeight
2019	7	16	27	71.5	57.5	71	106	82	56.2	68.8	76.4	51.8	66.6
2019	7	18	28	180.5	175.5	187	188	178	13	18.4	8.1	24.2	9.8
2019	7	18	29	124.5	96.5	128	131.5	126	86	90.6	95.8	96.1	85.4
2019	7	18	30	149	304.5	73	331.5	147.5	102	55	53.7	25.8	35.2
2019	7	18	31	107	89.5	154	108	186.5	85.3	38	80.6	79	118.5
2019	7	15	32	188.5	244	235.5	219	242	59.6	57.3	68.4	63	54.2
2019	7	.	33	.	.	.	.	.	53	47.6	75.8	39.5	62
2019	7	.	34	.	.	.	.	.	60.5	77.6	51.8	41.5	55.7
2019	8	20	1	302	371.5	326	371	299.5	60.9	82	65.7	116	99.7
2019	8	22	2	272.5	283	260	268	254.5	101.3	103.8	94	105.2	91.4
2019	8	19	3	152	155	151	122	157	16.4	7.8	16.4	12.6	17
2019	8	20	4	211.5	208	195	200.5	136	108.6	72.2	82	70.4	5
2019	8	23	5	.	.	.	.	.	.	.	.	.	.
2019	8	22	6	131.5	154	139	152.5	143	47	48.8	50.3	53.4	53.9
2019	8	19	7	284.5	284.5	277	269	312.5	16.8	16.3	17	10.4	21.8
2019	8	22	8	223	240	159	154	227	91.6	97.5	94.8	101.2	119.8
2019	8	20	10	276.5	320	252.5	294.5	276	35.1	76.4	45	71.2	60.2
2019	8	20	11	186.5	200.5	209	214.5	230	71.4	51.3	59.7	69	76.4
2019	8	20	12	213	192.5	186	208	224	44.9	50.3	78.1	81.1	63.1
2019	8	22	13	161	208.5	167.5	137	170.5	72.3	54.6	44.6	65.1	50.3
2019	8	19	14	239	230.5	237.5	250	234	25.7	82.4	28.1	25.5	30.4
2019	8	20	15	121.5	144.5	108.5	116	74	59	36	40.4	41.2	40
2019	8	20	16	193	220.5	213.5	210.5	183	15	13.2	14.2	9.6	23
2019	8	21	17	249.5	251	195	240	203	31.1	70.4	46.3	59.3	71.3
2019	8	19	18	144.5	205	173	179	173	97.4	97.5	41.8	83.8	66.1
2019	8	19	19	206	119	178	174	176	36.7	61.3	63	59.5	51.2
2019	8	22	20	94	245	63.5	59	245	51	52.5	61.7	49.8	51.5
2019	8	20	21	222	238	277	298	188	34	25.5	15.8	21.5	43.7
2019	8	20	22	149	111	140.5	100	186	31.2	12.2	30.6	28.8	27.8
2019	8	22	23	136.5	221	135.5	167	149	38.8	33.3	49.4	24.8	37
2019	8	23	24	.	.	.	.	.	19.8	20.7	27.9	32	25.7
2019	8	20	25	164	174.5	162	183	172	23.3	43	34.4	47.2	27
2019	8	23	26	108	141	133.5	105	118.5	23.3	43	34.4	47.2	27
2019	8	19	27	135	119.5	134	169	148	56.2	68.8	76.4	51.8	66.6
2019	8	20	28	166	150	173.5	175.5	176.5	13	18.4	8.1	24.2	9.8
2019	8	22	29	160	131	157	157	149	86	90.6	95.8	96.1	85.4
2019	8	20	30	169.5	324	94	355	171.5	102	55	53.7	25.8	35.2
2019	8	20	31	139	138	200	153.5	230	85.3	38	80.6	79	118.5
2019	8	23	32	236.5	288	284	267.5	294	59.6	57.3	68.4	63	54.2
2019	8	19	33	240	235	234	.	284	53	47.6	75.8	39.5	62
2019	8	19	34	.	.	.	.	.	60.5	77.6	51.8	41.5	55.7
2019	9	17	1	321	386	345	.	322	60.9	82	65.7	116	99.7
2019	9	17	2	274	283	262	270	257	101.3	103.8	94	105.2	91.4
2019	9	25	3	178	187	180	147	183.5	16.4	7.8	16.4	12.6	17
2019	9	17	4	240.5	231	219	227	160	108.6	72.2	82	70.4	5
2019	9	17	5	.	.	.	.	.	.	.	.	.	.
2019	9	19	6	144	166	151	165	156	47	48.8	50.3	53.4	53.9
2019	9	19	7	301	301	292.5	283.5	328	16.8	16.3	17	10.4	21.8
2019	9	18	8	228	242	163	159	234	91.6	97.5	94.8	101.2	119.8
2019	9	18	10	303.5	343.5	281	325	309	35.1	76.4	45	71.2	60.2
2019	9	21	11	210	225.5	232.5	238	252	71.4	51.3	59.7	69	76.4
2019	9	20	12	237	217	209.5	231.5	243.5	44.9	50.3	78.1	81.1	63.1
2019	9	17	13	175	223	181.5	151	183	72.3	54.6	44.6	65.1	50.3
2019	9	19	14	189	176	184	194	182	25.7	82.4	28.1	25.5	30.4
2019	9	19	15	137.5	168.5	129.5	139	94.5	59	36	40.4	41.2	40
2019	9	16	16	218.5	252	240.5	237	209	15	13.2	14.2	9.6	23
2019	9	16	17	258	259	204	249	211	31.1	70.4	46.3	59.3	71.3
2019	9	17	18	174	229	202.5	210	210	97.4	97.5	41.8	83.8	66.1
2019	9	17	19	233	144	206	203	208	36.7	61.3	63	59.5	51.2
2019	9	18	20	102	250	75	69	256	51	52.5	61.7	49.8	51.5
2019	9	18	21	234.5	292.5	287	307.5	204.5	34	25.5	15.8	21.5	43.7
2019	9	21	22	163	125.5	157	127.5	197.5	31.2	12.2	30.6	28.8	27.8
2019	9	19	23	140	224	140	172	154	38.8	33.3	49.4	24.8	37
2019	9	20	24	.	.	.	.	.	19.8	20.7	27.9	32	25.7
2019	9	17	25	184	199	185.5	205	188	23.3	43	34.4	47.2	27
2019	9	19	26	126	160	154	127	144	23.3	43	34.4	47.2	27
2019	9	20	27	165.5	148	165	201	180	56.2	68.8	76.4	51.8	66.6
2019	9	.	28	.	.	.	.	.	13	18.4	8.1	24.2	9.8
2019	9	16	29	167	137.5	165.5	163	153.5	86	90.6	95.8	96.1	85.4
2019	9	19	30	176	329	100	367	183	102	55	53.7	25.8	35.2
2019	9	16	31	153.5	149	215	170	245	85.3	38	80.6	79	118.5
2019	9	20	32	248	298	295	278	307	59.6	57.3	68.4	63	54.2
2019	9	20	33	350	352	242.5	316.5	387	53	47.6	75.8	39.5	62
2019	9	20	34	.	.	.	.	.	60.5	77.6	51.8	41.5	55.7
2019	10	14	1	323	386	345.5	390	321.5	60.9	82	65.7	116	99.7
2019	10	15	2	272	280.5	259.5	267.5	255	101.3	103.8	94	105.2	91.4
2019	10	16	3	153.5	162	156.5	124	161	16.4	7.8	16.4	12.6	17
2019	10	15	4	220	211	200	208	142	108.6	72.2	82	70.4	5
2019	10	15	5	.	.	.	.	.	.	.	.	.	.
2019	10	14	6	137.5	160	145	159	150.5	47	48.8	50.3	53.4	53.9
2019	10	17	7	298.5	298.5	290	282	326	16.8	16.3	17	10.4	21.8
2019	10	14	8	225	242	160	155	229	91.6	97.5	94.8	101.2	119.8
2019	10	16	10	320.5	357	297.5	342	326	35.1	76.4	45	71.2	60.2
2019	10	19	11	207	222	229	235	249	71.4	51.3	59.7	69	76.4
2019	10	16	12	244.5	224	216	238	247	44.9	50.3	78.1	81.1	63.1
2019	10	15	13	170.5	215.5	177	144.5	180	72.3	54.6	44.6	65.1	50.3
2019	10	17	14	222.5	212	224	229	217.5	25.7	82.4	28.1	25.5	30.4
2019	10	17	15	107.5	144	103	113.5	62	59	36	40.4	41.2	40
2019	10	14	16	204	235	225	218	192	15	13.2	14.2	9.6	23
2019	10	18	17	255.5	258.5	202	247	210	31.1	70.4	46.3	59.3	71.3
2019	10	15	18	165	191	193	197	226	97.4	97.5	41.8	83.8	66.1
2019	10	15	19	224	140	197	193	193	36.7	61.3	63	59.5	51.2
2019	10	16	20	96	246	71	64	251	51	52.5	61.7	49.8	51.5
2019	10	16	21	242	300	301	320	218.5	34	25.5	15.8	21.5	43.7
2019	10	19	22	157	118	151	119	191	31.2	12.2	30.6	28.8	27.8
2019	10	17	23	140	224	139	170	151	38.8	33.3	49.4	24.8	37
2019	10	18	24	.	.	.	.	.	19.8	20.7	27.9	32	25.7
2019	10	15	25	169	183.5	171.5	191	175	23.3	43	34.4	47.2	27
2019	10	16	26	140	177.5	169	143	156	23.3	43	34.4	47.2	27
2019	10	19	27	139.5	125	137.5	173	151.5	56.2	68.8	76.4	51.8	66.6
2019	10	.	28	.	.	.	.	.	13	18.4	8.1	24.2	9.8
2019	10	14	29	161.5	134	163	165.5	156.5	86	90.6	95.8	96.1	85.4
2019	10	17	30	179	327	102.5	364.5	178	102	55	53.7	25.8	35.2
2019	10	14	31	150	153.5	241.5	169.5	213	85.3	38	80.6	79	118.5
2019	10	18	32	240	290	286.5	269	296.5	59.6	57.3	68.4	63	54.2
2019	10	18	33	387	373	379	353.5	420	53	47.6	75.8	39.5	62
2019	10	18	34	.	.	.	.	.	60.5	77.6	51.8	41.5	55.7
2019	11	21	1	325.5	397.5	348	392.5	310	60.9	82	65.7	116	99.7
2019	11	19	2	273	286	261	269	264	101.3	103.8	94	105.2	91.4
2019	11	21	3	148	139	146	110.5	163	16.4	7.8	16.4	12.6	17
2019	11	19	4	173	159.5	154	160.5	100.5	108.6	72.2	82	70.4	5
2019	11	19	5	.	.	.	.	.	.	.	.	.	.
2019	11	19	6	120	143	127.5	141	132	47	48.8	50.3	53.4	53.9
2019	11	21	7	287	284	279	270.5	317.5	16.8	16.3	17	10.4	21.8
2019	11	20	8	209	231.5	145	142	208.5	91.6	97.5	94.8	101.2	119.8
2019	11	18	10	283	331	266	307	284	35.1	76.4	45	71.2	60.2
2019	11	23	11	174	189	197	203.5	218	71.4	51.3	59.7	69	76.4
2019	11	19	12	202.5	184	177.5	201.5	213	44.9	50.3	78.1	81.1	63.1
2019	11	21	13	151	185	155	117	163.5	72.3	54.6	44.6	65.1	50.3
2019	11	21	14	223	211	218	229	216	25.7	82.4	28.1	25.5	30.4
2019	11	21	15	90	114	82	89	47	59	36	40.4	41.2	40
2019	11	18	16	175	196.5	192	184	164	15	13.2	14.2	9.6	23
2019	11	20	17	234.5	237	180.5	226.5	190	31.1	70.4	46.3	59.3	71.3
2019	11	21	18	120.5	189	147	148	130	97.4	97.5	41.8	83.8	66.1
2019	11	21	19	184	107	155	153	144.5	36.7	61.3	63	59.5	51.2
2019	11	20	20	79	230	50	43	227	51	52.5	61.7	49.8	51.5
2019	11	20	21	219	297	281	302	174	34	25.5	15.8	21.5	43.7
2019	11	23	22	136	94.5	127	86.5	172	31.2	12.2	30.6	28.8	27.8
2019	11	21	23	119	205	114	142	125	38.8	33.3	49.4	24.8	37
2019	11	15	24	.	.	.	.	.	19.8	20.7	27.9	32	25.7
