year,month,day,site,northwell,eastwell,centerwell,southwell,westwell,ditch,NorthCaseHeight,EastCaseHeight,CenterCaseHeight,SouthCaseHeight,WestCaseHeight
2020,1,.,28,.,.,.,.,.,.,86,90.6,95.8,96.1,85.4
2020,1,21,29,168,137,168,173,162.5,205,102,55,53.7,25.8,35.2
2020,1,21,30,164.5,319,89,351,167,.,85.3,38,80.6,79,118.5
2020,1,21,31,138.5,136,198,155,234,297,59.6,57.3,68.4,63,54.2
2020,1,27,32,257,309,304,286.5,313,389,53,47.6,75.8,39.5,62
2020,1,24,33,344,345,333,304,377,382,60.5,77.6,51.8,41.5,55.7
2020,1,24,34,.,.,.,.,.,.,.,.,.,.,.
2020,2,19,1,353.5,406,374.5,419,345,359,60.9,82,65.7,116,99.7
2020,2,18,2,293,304.5,281,289,274.5,240.5,101.3,103.8,94,105.2,91.4
2020,2,19,3,170,175.5,172.5,139.5,182,.,16.4,7.8,16.4,12.6,17
2020,2,18,4,205,195.5,184,191,127.5,84,108.6,72.2,82,70.4,5
2020,2,18,5,.,.,.,.,.,.,.,.,.,.,.
2020,2,21,6,134,159,142,155,143.5,112,47,48.8,50.3,53.4,53.9
2020,2,20,7,292.5,289,284,276.5,322.5,370,16.8,16.3,17,10.4,21.8
2020,2,19,8,244,271.5,185,179.5,242.5,280,91.6,97.5,94.8,101.2,119.8
2020,2,20,10,326,394,308.5,374,330,382.5,71.4,51.3,59.7,69,76.4
2020,2,22,11,213,231,236,241.5,252.5,.,44.9,50.3,78.1,81.1,63.1
2020,2,21,12,231,220,207,231.5,232,112,72.3,54.6,44.6,65.1,50.3
2020,2,20,13,174,212,178,142,185,266,25.7,82.4,28.1,25.5,30.4
2020,2,20,14,245,232.5,241,251.5,238,328,59,36,40.4,41.2,40
2020,2,20,15,114,141.5,105,113,69,84,15,13.2,14.2,9.6,23
2020,2,18,16,190,217,210,202,180,83,31.1,70.4,46.3,59.3,71.3
2020,2,20,17,250,255.5,197,177,203.5,.,97.4,97.5,41.8,83.8,66.1
2020,2,20,18,155,222,182,185,174.5,.,36.7,61.3,63,59.5,51.2
2020,2,20,19,215,136,186,183,174.5,.,51,52.5,61.7,49.8,51.5
2020,2,19,20,95.5,246,70,63,246,317,34,25.5,15.8,21.5,43.7
