site,year,month,day,northwell,eastwell,centerwell,southwell,westwell,NorthCaseHeight,EastCaseHeight,CenterCaseHeight,SouthCaseHeight,WestCaseHeight,Date,north_depth,east_depth,center_depth,south_depth,west_depth,mean_depth_gw,site_name,site_lat,site_long
17,2019,3,19,243.5,247,190,235,197,97.4,97.5,41.8,83.8,66.1,2019-03-19,146.1,149.5,148.2,151.2,130.9,145.18,Montano,35.14528819,-106.6803699
18,2019,4,17,108,174,137,142,135,97.4,97.5,41.8,83.8,66.1,2019-04-17,10.6,76.5,95.2,58.2,68.9,61.88,Reynolds Cleared,34.65966431,-106.7421328
18,2019,5,23,52,123,78,78.5,60,97.4,97.5,41.8,83.8,66.1,2019-05-23,-45.4,25.5,36.2,-5.3,-6.09999999999999,0.980000000000001,Reynolds Cleared,34.65966431,-106.7421328
18,2019,2,20,161,227,189,193,181,36.7,61.3,63,59.5,51.2,2019-02-20,124.3,165.7,126,133.5,129.8,135.86,Reynolds Cleared,34.65966431,-106.7421328
18,2019,3,20,130,197,158,161,149,36.7,61.3,63,59.5,51.2,2019-03-20,93.3,135.7,95,101.5,97.8,104.66,Reynolds Cleared,34.65966431,-106.7421328
18,2019,1,16,155,222,183.5,187.5,176,36.7,61.3,63,59.5,51.2,2019-01-16,118.3,160.7,120.5,128,124.8,130.46,Reynolds Cleared,34.65966431,-106.7421328
19,2019,5,23,122,45,90,84,76,36.7,61.3,63,59.5,51.2,2019-05-23,85.3,-16.3,27,24.5,24.8,29.06,Reynolds Forest,34.66054583,-106.7429525
19,2019,2,20,222,142,193,189,185,51,52.5,61.7,49.8,51.5,2019-02-20,171,89.5,131.3,139.2,133.5,132.9,Reynolds Forest,34.66054583,-106.7429525
19,2019,1,16,216,137,187,184,180,51,52.5,61.7,49.8,51.5,2019-01-16,165,84.5,125.3,134.2,128.5,127.5,Reynolds Forest,34.66054583,-106.7429525
19,2019,3,20,190,112,160,157,151.5,51,52.5,61.7,49.8,51.5,2019-03-20,139,59.5,98.3,107.2,100,100.8,Reynolds Forest,34.66054583,-106.7429525
19,2019,4,17,169,88.5,140.5,138,134.5,36.7,61.3,63,59.5,51.2,2019-04-17,132.3,27.2,77.5,78.5,83.3,79.76,Reynolds Forest,34.66054583,-106.7429525
20,2019,3,20,77,230,50,42,225,34,25.5,15.8,21.5,43.7,2019-03-20,43,204.5,34.2,20.5,181.3,96.7,Route 66,35.1006408,-106.6914783
20,2019,2,20,100,248,75,59,256,34,25.5,15.8,21.5,43.7,2019-02-20,66,222.5,59.2,37.5,212.3,119.5,Route 66,35.1006408,-106.6914783
20,2019,4,17,66,220,37,29,209,51,52.5,61.7,49.8,51.5,2019-04-17,15,167.5,-24.7,-20.8,157.5,58.9,Route 66,35.1006408,-106.6914783
20,2019,1,16,99,246,73,69,257,34,25.5,15.8,21.5,43.7,2019-01-16,65,220.5,57.2,47.5,213.3,120.7,Route 66,35.1006408,-106.6914783
20,2019,5,21,-28.5,166,NA,NA,NA,51,52.5,61.7,49.8,51.5,2019-05-21,-79.5,113.5,NA,NA,NA,17,Route 66,35.1006408,-106.6914783
21,2019,2,20,226.5,298,283.5,306,185,31.2,12.2,30.6,28.8,27.8,2019-02-20,195.3,285.8,252.9,277.2,157.2,233.68,Badger,35.1956,-106.6402
21,2019,1,16,245.5,308,302,324,280,31.2,12.2,30.6,28.8,27.8,2019-01-16,214.3,295.8,271.4,295.2,252.2,265.78,Badger,35.1956,-106.6402
21,2019,4,17,211.5,286.5,271,296,173.5,34,25.5,15.8,21.5,43.7,2019-04-17,177.5,261,255.2,274.5,129.8,219.6,Badger,35.1956,-106.6402
21,2019,3,20,205,285,270,296.5,168,31.2,12.2,30.6,28.8,27.8,2019-03-20,173.8,272.8,239.4,267.7,140.2,218.78,Badger,35.1956,-106.6402
21,2019,5,22,169.5,244,227,252,124,34,25.5,15.8,21.5,43.7,2019-05-22,135.5,218.5,211.2,230.5,80.3,175.2,Badger,35.1956,-106.6402
22,2019,2,23,147,104,140,105,187,38.8,33.3,49.4,24.8,37,2019-02-23,108.2,70.7,90.6,80.2,150,99.94,Bobcat,35.19705633,-106.6439494
22,2019,3,23,131,87,124,87,173.5,38.8,33.3,49.4,24.8,37,2019-03-23,92.2,53.7,74.6,62.2,136.5,83.84,Bobcat,35.19705633,-106.6439494
22,2019,1,19,156,118,150,117,196,38.8,33.3,49.4,24.8,37,2019-01-19,117.2,84.7,100.6,92.2,159,110.74,Bobcat,35.19705633,-106.6439494
22,2019,5,20,99,56,94,55.5,150,31.2,12.2,30.6,28.8,27.8,2019-05-20,67.8,43.8,63.4,26.7,122.2,64.78,Bobcat,35.19705633,-106.6439494
22,2019,4,20,122,80,116,78,167,31.2,12.2,30.6,28.8,27.8,2019-04-20,90.8,67.8,85.4,49.2,139.2,86.48,Bobcat,35.19705633,-106.6439494
23,2019,2,21,178,235,145,175,156,19.8,20.7,27.9,32,25.7,2019-02-21,158.2,214.3,117.1,143,130.3,152.58,BioPark,35.079,-106.668
23,2019,3,21,127.5,213.5,122,151,132,19.8,20.7,27.9,32,25.7,2019-03-21,107.7,192.8,94.1,119,106.3,123.98,BioPark,35.079,-106.668
23,2019,5,22,3,139,36,34.5,49,38.8,33.3,49.4,24.8,37,2019-05-22,-35.8,105.7,-13.4,9.7,12,15.64,BioPark,35.079,-106.668
23,2019,1,20,141,226.5,137,167.5,148.5,19.8,20.7,27.9,32,25.7,2019-01-20,121.2,205.8,109.1,135.5,122.8,138.88,BioPark,35.079,-106.668
23,2019,4,18,24.5,214,120.5,42.5,125.5,38.8,33.3,49.4,24.8,37,2019-04-18,-14.3,180.7,71.1,17.7,88.5,68.74,BioPark,35.079,-106.668
24,2019,2,22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019-02-22,NA,NA,NA,NA,NA,NA,Santo Domingo,35.50989,-106.3896
24,2019,5,24,NA,NA,NA,NA,NA,19.8,20.7,27.9,32,25.7,2019-05-24,NA,NA,NA,NA,NA,NA,Santo Domingo,35.50989,-106.3896
24,2019,4,12,NA,NA,NA,NA,NA,19.8,20.7,27.9,32,25.7,2019-04-12,NA,NA,NA,NA,NA,NA,Santo Domingo,35.50989,-106.3896
24,2019,3,22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019-03-22,NA,NA,NA,NA,NA,NA,Santo Domingo,35.50989,-106.3896
