Year,Site number,Site name,Annual sum of canopy precipitation mm,Annual sum of open precipitation mm,Annual sum of precipitation mm
2022,15,Valencia Cleared,159.7,219.8,211.75
2022,16,Valencia Forest,165.7,275.3,221.25
2022,17,Montano,114.5,223.5,169
2022,18,Reynolds Cleared,107.5,214,160.75
2022,19,Reynolds Forest,183.5,239.8,211.65
2022,20,Route 66,111.5,202,156.75
2022,21,Badger,106.5,204,155.25
2022,22,Bobcat,105.8,174.5,153.4
2022,23,BioPark,150,175.8,174.4
2022,24,Santo Domingo,129,208,168.5
2022,25,Crawford,214,235.5,237.75
2022,26,Mesilla,75,155,115
2022,27,Bosque Farm,0,0,0
2022,28,Valle de Oro,0,47.5,47.5
2022,29,Albuquerque Overbank Project,96.1,223.5,159.8
2022,30,State Land Office,140,117.5,153.25
2022,31,San Jose,112.2,203.3,166.5
2022,32,Sandia,133.5,199.5,172.5
2022,33,Bosque del Apache,106.3,87.3,121.8
2022,34,River Realignment,0,10,10
2023,1,Alameda,81.1,116,98.55
2023,2,Rio Grande Nature Center,138.1,150.5,144.3
2023,3,Los Lunas,67,128.8,101.9
2023,4,Belen,63.7,90.5,77.1
2023,5,Santa Ana,91.8,141,121.4
2023,6,Savannah,86.5,146.8,128.15
2023,7,Lemitar,120,151.5,137
2023,8,Hispanic Cultural Center,17,35,52
2023,10,Diversion,48.5,91.3,76.9
2023,11,Calabacillas,77,106,98
2023,12,Minnow,55.9,107.6,82.5
2023,13,Harrison,52.4,110.8,83.1
2023,14,Sevilleta,101.5,159.5,134.75
2023,15,Valencia Cleared,78,140.5,109.25
2023,16,Valencia Forest,55.5,95.7,77.6
2023,17,Montano,76.6,172.5,124.55
2023,18,Reynolds Cleared,30,52.5,57.25
2023,19,Reynolds Forest,128.5,151,139.75
2023,20,Route 66,66.8,126.8,97.3
2023,21,Badger,68.3,115,91.65
2023,22,Bobcat,35.5,67,51.25
2023,23,BioPark,100.5,100.5,107.25
2023,24,Santo Domingo,28,63,45.5
2023,25,Crawford,101.3,122.4,117.35000000000001
2023,26,Mesilla,70.5,146.5,108.5
2023,27,Bosque Farm,0,0,0
2023,28,Valle de Oro,0,85,85
2023,29,Albuquerque Overbank Project,41.5,123.5,82.5
2023,30,State Land Office,88.5,114.8,101.9
2023,31,San Jose,55.3,96.3,80.05
2023,32,Sandia,31.5,128,104.75
2023,33,Bosque del Apache,57.099999999999994,124.3,148.20000000000002
2023,34,River Realignment,12,140,152
2024,1,Alameda,11,13.5,12.25
2024,2,Rio Grande Nature Center,10,0,10
2024,3,Los Lunas,6.5,13,9.75
2024,4,Belen,16.5,20,18.25
2024,5,Santa Ana,8,14,11
2024,6,Savannah,0,0,0
2024,7,Lemitar,0,17,17
2024,8,Hispanic Cultural Center,0,0,0
2024,10,Diversion,0,16,16
2024,11,Calabacillas,8,14,11
2024,12,Minnow,7.5,13,10.25
2024,13,Harrison,19.5,22,20.75
2024,14,Sevilleta,13.5,22,17.75
2024,15,Valencia Cleared,14,27.5,20.75
2024,16,Valencia Forest,0,0,0
2024,17,Montano,0,0,0
2024,18,Reynolds Cleared,12,17,14.5
2024,19,Reynolds Forest,15,17,16
2024,20,Route 66,3.5,12,7.75
2024,21,Badger,8,11,9.5
2024,22,Bobcat,0,0,0
2024,23,BioPark,11,0,11
2024,24,Santo Domingo,0,0,0
2024,25,Crawford,20,18.5,19.25
2024,26,Mesilla,4.5,10,7.25
2024,27,Bosque Farm,0,0,0
2024,28,Valle de Oro,0,18,18
2024,29,Albuquerque Overbank Project,6.5,17,11.75
2024,30,State Land Office,15,19,17
2024,31,San Jose,15,21.5,18.25
2024,32,Sandia,6,13,9.5
2024,33,Bosque del Apache,0,0,0
2024,34,River Realignment,0,23.5,23.5
