Year,Site number,Site name,Annual sum of canopy precipitation mm,Annual sum of open precipitation mm,Annual sum of precipitation mm
2005,8,Hispanic Cultural Center,139.2,137.6,173.9
2005,9,Ohkay Owingeh,235.5,265.4,271.45
2005,10,Diversion,171.8,220.20000000000002,196
2005,11,Calabacillas,141.40000000000003,154,173.4
2005,12,Minnow,127.5,192.20000000000002,172.34999999999997
2005,13,Harrison,169.39999999999998,233.8,217.35
2005,14,Sevilleta,149.8,156,161.2
2005,15,Valencia Cleared,95.3,124.9,141.85
2005,16,Valencia Forest,242.6,141.9,242.25
2005,17,Montano,134.2,226.8,180.50000000000003
2005,18,Reynolds Cleared,153.2,218.8,186
2005,19,Reynolds Forest,115.7,142.5,148.85
2005,20,Route 66,169.4,238.29999999999998,203.85000000000002
2005,21,Badger,0,0,0
2005,22,Bobcat,0,0,0
2006,1,Alameda,264.3,254,276.15000000000003
2006,2,Rio Grande Nature Center,191.29999999999998,229,210.15
2006,3,Los Lunas,139.1,208.20000000000002,173.65
2006,4,Belen,264.2,315.8,290
2006,5,Santa Ana,0,0,0
2006,6,Savannah,112.8,234.7,173.75
2006,7,Lemitar,309.59999999999997,380.9,345.25000000000006
2006,8,Hispanic Cultural Center,189.8,206.8,198.3
2006,9,Ohkay Owingeh,172.7,250.1,211.4
2006,10,Diversion,210.5,295.3,274.9
2006,11,Calabacillas,212.7,289.7,252.2
2006,12,Minnow,154.4,240.7,197.55
2006,13,Harrison,225.09999999999997,251.79999999999995,238.84999999999997
2006,14,Sevilleta,192.5,130.6,208.4
2006,15,Valencia Cleared,184.8,316.3,285.05
2006,16,Valencia Forest,291.8,324.9,308.35
2006,17,Montano,160.8,270,232.10000000000002
2006,18,Reynolds Cleared,221.4,294.59999999999997,258
2006,19,Reynolds Forest,217.4,298.7,261.55
2006,20,Route 66,81.30000000000001,137.10000000000002,109.20000000000002
2006,21,Badger,0,0,0
2006,22,Bobcat,0,1.1,0.55
2007,1,Alameda,226,235.4,230.70000000000002
2007,2,Rio Grande Nature Center,171.2,171.89999999999998,171.54999999999998
2007,3,Los Lunas,141.5,201.3,171.4
2007,4,Belen,189.7,203.7,196.7
2007,5,Santa Ana,26,25.2,25.6
2007,6,Savannah,159,216,197.5
2007,7,Lemitar,189.5,254,221.75
2007,8,Hispanic Cultural Center,162.4,211.2,201.3
2007,9,Ohkay Owingeh,190.5,273.4,231.95000000000002
