Year,Month,Day,Site number,Precipitation canopy,Precipitation open,Site name,Latitude,Longitude,Reaches,Current usgs gauge,
1998,9,20,3,48.3,50.3,Los Lunas,34.81236936,-106.714458,Isleta Reach,8331160,
1998,9,15,4,3.8,5.6,Belen,34.6484315,-106.7377022,Isleta Reach,8331510,
1998,10,20,1,18.3,22.9,Alameda,35.1875,-106.6459,Angostura Reach,8330000,
1998,10,20,2,31.8,20.8,Rio Grande Nature Center,35.127,-106.6854,Angostura Reach,8330000,
1998,10,17,3,11.9,15.2,Los Lunas,34.81236936,-106.714458,Isleta Reach,8331160,
1998,10,20,4,9.7,12.2,Belen,34.6484315,-106.7377022,Isleta Reach,8331510,
1998,11,17,1,24.6,38.1,Alameda,35.1875,-106.6459,Angostura Reach,8330000,
1998,11,17,2,27.9,29.2,Rio Grande Nature Center,35.127,-106.6854,Angostura Reach,8330000,
1998,11,17,3,21.6,30.5,Los Lunas,34.81236936,-106.714458,Isleta Reach,8331160,
1998,11,17,4,21.3,25.4,Belen,34.6484315,-106.7377022,Isleta Reach,8331510,
1998,12,15,1,1.3,3,Alameda,35.1875,-106.6459,Angostura Reach,8330000,
1998,12,15,2,6.9,7.6,Rio Grande Nature Center,35.127,-106.6854,Angostura Reach,8330000,
1998,12,15,3,7.6,12.7,Los Lunas,34.81236936,-106.714458,Isleta Reach,8331160,
1998,12,17,4,7.6,7.1,Belen,34.6484315,-106.7377022,Isleta Reach,8331510,
1999,1,19,1,0,0,Alameda,35.1875,-106.6459,Angostura Reach,8330000,
1999,1,19,2,0,0,Rio Grande Nature Center,35.127,-106.6854,Angostura Reach,8330000,
1999,1,19,3,0,2.5,Los Lunas,34.81236936,-106.714458,Isleta Reach,8331160,
1999,1,20,4,0,0,Belen,34.6484315,-106.7377022,Isleta Reach,8331510,
1999,2,16,1,3,3.8,Alameda,35.1875,-106.6459,Angostura Reach,8330000,
1999,2,16,2,3.3,3.3,Rio Grande Nature Center,35.127,-106.6854,Angostura Reach,8330000,
1999,2,16,3,2.5,3,Los Lunas,34.81236936,-106.714458,Isleta Reach,8331160,
1999,2,17,4,10.2,10.2,Belen,34.6484315,-106.7377022,Isleta Reach,8331510,
1999,3,16,1,7.6,9.1,Alameda,35.1875,-106.6459,Angostura Reach,8330000,
1999,3,16,2,13,11.2,Rio Grande Nature Center,35.127,-106.6854,Angostura Reach,8330000,
1999,3,.,3,.,.,Los Lunas,34.81236936,-106.714458,Isleta Reach,8331160,
1999,3,16,4,.,.,Belen,34.6484315,-106.7377022,Isleta Reach,8331510,
1999,4,20,1,.,.,Alameda,35.1875,-106.6459,Angostura Reach,8330000,
1999,4,20,2,.,.,Rio Grande Nature Center,35.127,-106.6854,Angostura Reach,8330000,
1999,4,20,3,12.7,15.2,Los Lunas,34.81236936,-106.714458,Isleta Reach,8331160,
1999,4,21,4,9.9,2.5,Belen,34.6484315,-106.7377022,Isleta Reach,8331510,
1999,5,18,1,27.9,.,Alameda,35.1875,-106.6459,Angostura Reach,8330000,
1999,5,18,2,15.2,14.7,Rio Grande Nature Center,35.127,-106.6854,Angostura Reach,8330000,
1999,5,18,3,17.8,20.3,Los Lunas,34.81236936,-106.714458,Isleta Reach,8331160,
1999,5,.,4,.,.,Belen,34.6484315,-106.7377022,Isleta Reach,8331510,
1999,6,.,1,.,.,Alameda,35.1875,-106.6459,Angostura Reach,8330000,
1999,6,15,2,4.6,4.8,Rio Grande Nature Center,35.127,-106.6854,Angostura Reach,8330000,
1999,6,.,3,.,.,Los Lunas,34.81236936,-106.714458,Isleta Reach,8331160,
1999,6,.,4,.,.,Belen,34.6484315,-106.7377022,Isleta Reach,8331510,
1999,7,20,1,34.8,48.3,Alameda,35.1875,-106.6459,Angostura Reach,8330000,
1999,7,20,2,27.9,34.3,Rio Grande Nature Center,35.127,-106.6854,Angostura Reach,8330000,
1999,7,.,3,.,.,Los Lunas,34.81236936,-106.714458,Isleta Reach,8331160,
1999,7,20,4,25.4,29.2,Belen,34.6484315,-106.7377022,Isleta Reach,8331510,
1999,8,18,1,88.9,108,Alameda,35.1875,-106.6459,Angostura Reach,8330000,
1999,8,17,2,104.1,124.5,Rio Grande Nature Center,35.127,-106.6854,Angostura Reach,8330000,
1999,8,20,3,0.9,1.6,Los Lunas,34.81236936,-106.714458,Isleta Reach,8331160,
1999,8,17,4,95.3,95.3,Belen,34.6484315,-106.7377022,Isleta Reach,8331510,
1999,8,17,5,74.9,88.9,Santa Ana,35.34284,-106.5458,Cochti Reach,.,
1999,9,21,1,1.3,4.6,Alameda,35.1875,-106.6459,Angostura Reach,8330000,
1999,9,21,2,13.2,10.2,Rio Grande Nature Center,35.127,-106.6854,Angostura Reach,8330000,
1999,9,22,3,4.6,8.1,Los Lunas,34.81236936,-106.714458,Isleta Reach,8331160,
1999,9,21,4,10.2,14.7,Belen,34.6484315,-106.7377022,Isleta Reach,8331510,
1999,9,21,5,3.8,10.2,Santa Ana,35.34284,-106.5458,Cochti Reach,.,
1999,10,20,1,7.1,10.4,Alameda,35.1875,-106.6459,Angostura Reach,8330000,
1999,10,19,2,15.5,16.3,Rio Grande Nature Center,35.127,-106.6854,Angostura Reach,8330000,
1999,10,20,3,5.1,9.7,Los Lunas,34.81236936,-106.714458,Isleta Reach,8331160,
1999,10,19,4,7.6,10.4,Belen,34.6484315,-106.7377022,Isleta Reach,8331510,
1999,10,19,5,5.1,6.1,Santa Ana,35.34284,-106.5458,Cochti Reach,.,
1999,11,16,1,0.3,0.3,Alameda,35.1875,-106.6459,Angostura Reach,8330000,
1999,11,16,2,1,0.8,Rio Grande Nature Center,35.127,-106.6854,Angostura Reach,8330000,
1999,11,17,3,0,0,Los Lunas,34.81236936,-106.714458,Isleta Reach,8331160,
1999,11,16,4,3,3.8,Belen,34.6484315,-106.7377022,Isleta Reach,8331510,
1999,11,15,5,0,0,Santa Ana,35.34284,-106.5458,Cochti Reach,.,
1999,12,21,1,2.5,3.8,Alameda,35.1875,-106.6459,Angostura Reach,8330000,
1999,12,21,2,3.8,3.6,Rio Grande Nature Center,35.127,-106.6854,Angostura Reach,8330000,
1999,12,22,3,12.7,20.3,Los Lunas,34.81236936,-106.714458,Isleta Reach,8331160,
1999,12,21,4,5.1,10.2,Belen,34.6484315,-106.7377022,Isleta Reach,8331510,
1999,12,.,5,.,.,Santa Ana,35.34284,-106.5458,Cochti Reach,.,
2000,1,18,1,0,0.3,Alameda,35.1875,-106.6459,Angostura Reach,8330000,
2000,1,18,2,3.6,3.6,Rio Grande Nature Center,35.127,-106.6854,Angostura Reach,8330000,
2000,1,19,3,.,3,Los Lunas,34.81236936,-106.714458,Isleta Reach,8331160,
2000,1,18,4,1.8,2.8,Belen,34.6484315,-106.7377022,Isleta Reach,8331510,
2000,1,18,5,2.5,3.3,Santa Ana,35.34284,-106.5458,Cochti Reach,.,
2000,2,17,1,3.3,5.3,Alameda,35.1875,-106.6459,Angostura Reach,8330000,
2000,2,15,2,9.7,0,Rio Grande Nature Center,35.127,-106.6854,Angostura Reach,8330000,
2000,2,16,3,3.8,4.8,Los Lunas,34.81236936,-106.714458,Isleta Reach,8331160,
2000,2,15,4,4.3,4.8,Belen,34.6484315,-106.7377022,Isleta Reach,8331510,
2000,2,16,5,5.3,3.8,Santa Ana,35.34284,-106.5458,Cochti Reach,.,
2000,3,21,1,10.7,14.2,Alameda,35.1875,-106.6459,Angostura Reach,8330000,
2000,3,21,2,13.7,.,Rio Grande Nature Center,35.127,-106.6854,Angostura Reach,8330000,
2000,3,22,3,19.8,.,Los Lunas,34.81236936,-106.714458,Isleta Reach,8331160,
2000,3,22,4,36.8,43.2,Belen,34.6484315,-106.7377022,Isleta Reach,8331510,
2000,3,22,5,16.3,20.3,Santa Ana,35.34284,-106.5458,Cochti Reach,.,
2000,3,21,6,59.9,63,Savannah,35.14285294,-106.6819814,Angostura Reach,8330000,
2000,4,18,1,15.2,12.7,Alameda,35.1875,-106.6459,Angostura Reach,8330000,
2000,4,18,2,.,27.9,Rio Grande Nature Center,35.127,-106.6854,Angostura Reach,8330000,
2000,4,19,3,9.7,13.2,Los Lunas,34.81236936,-106.714458,Isleta Reach,8331160,
2000,4,18,4,10.7,6.1,Belen,34.6484315,-106.7377022,Isleta Reach,8331510,
2000,4,19,5,7.6,12.2,Santa Ana,35.34284,-106.5458,Cochti Reach,.,
2000,4,19,6,17.5,24.9,Savannah,35.14285294,-106.6819814,Angostura Reach,8330000,
2000,5,18,1,0,0,Alameda,35.1875,-106.6459,Angostura Reach,8330000,
2000,5,16,2,0,0,Rio Grande Nature Center,35.127,-106.6854,Angostura Reach,8330000,
2000,5,16,3,8.9,5.1,Los Lunas,34.81236936,-106.714458,Isleta Reach,8331160,
2000,5,.,4,.,.,Belen,34.6484315,-106.7377022,Isleta Reach,8331510,
2000,5,.,5,.,.,Santa Ana,35.34284,-106.5458,Cochti Reach,.,
2000,5,16,6,0,0,Savannah,35.14285294,-106.6819814,Angostura Reach,8330000,
2000,6,20,1,7.1,7.1,Alameda,35.1875,-106.6459,Angostura Reach,8330000,
2000,6,20,2,17.3,19.8,Rio Grande Nature Center,35.127,-106.6854,Angostura Reach,8330000,
2000,6,20,3,0,1,Los Lunas,34.81236936,-106.714458,Isleta Reach,8331160,
2000,6,19,4,27.9,34.3,Belen,34.6484315,-106.7377022,Isleta Reach,8331510,
2000,6,20,5,6.1,2,Santa Ana,35.34284,-106.5458,Cochti Reach,.,
2000,6,20,6,16.5,21.6,Savannah,35.14285294,-106.6819814,Angostura Reach,8330000,
2000,7,18,1,7.6,7.9,Alameda,35.1875,-106.6459,Angostura Reach,8330000,
2000,7,.,2,.,.,Rio Grande Nature Center,35.127,-106.6854,Angostura Reach,8330000,
2000,7,18,3,15.2,33,Los Lunas,34.81236936,-106.714458,Isleta Reach,8331160,
2000,7,18,4,12.7,15.2,Belen,34.6484315,-106.7377022,Isleta Reach,8331510,
2000,7,.,5,.,.,Santa Ana,35.34284,-106.5458,Cochti Reach,.,
2000,7,18,6,16.5,17.5,Savannah,35.14285294,-106.6819814,Angostura Reach,8330000,
2000,8,15,1,19.3,27.9,Alameda,35.1875,-106.6459,Angostura Reach,8330000,
2000,8,15,2,15.2,15.2,Rio Grande Nature Center,35.127,-106.6854,Angostura Reach,8330000,
2000,8,15,3,7.9,12.4,Los Lunas,34.81236936,-106.714458,Isleta Reach,8331160,
2000,8,14,4,15,21.1,Belen,34.6484315,-106.7377022,Isleta Reach,8331510,
2000,8,14,5,.,1.8,Santa Ana,35.34284,-106.5458,Cochti Reach,.,
2000,8,15,6,0,5.1,Savannah,35.14285294,-106.6819814,Angostura Reach,8330000,
2000,9,19,1,21.1,27.4,Alameda,35.1875,-106.6459,Angostura Reach,8330000,
2000,9,20,2,9.9,10.4,Rio Grande Nature Center,35.127,-106.6854,Angostura Reach,8330000,
2000,9,19,3,12.4,19.1,Los Lunas,34.81236936,-106.714458,Isleta Reach,8331160,
2000,9,19,4,13,19.1,Belen,34.6484315,-106.7377022,Isleta Reach,8331510,
2000,9,19,5,15.2,25.4,Santa Ana,35.34284,-106.5458,Cochti Reach,.,
2000,9,20,6,14.5,26.9,Savannah,35.14285294,-106.6819814,Angostura Reach,8330000,
2000,9,20,7,1.8,5.6,Lemitar,34.16703188,-106.8899486,San Acacia Reach,8354900,
2000,10,18,1,41.9,46,Alameda,35.1875,-106.6459,Angostura Reach,8330000,
2000,10,16,2,33,40.9,Rio Grande Nature Center,35.127,-106.6854,Angostura Reach,8330000,
2000,10,17,3,37.1,45,Los Lunas,34.81236936,-106.714458,Isleta Reach,8331160,
2000,10,17,4,50.8,57.2,Belen,34.6484315,-106.7377022,Isleta Reach,8331510,
2000,10,16,5,27.2,38.1,Santa Ana,35.34284,-106.5458,Cochti Reach,.,
2000,10,16,6,19.1,40.9,Savannah,35.14285294,-106.6819814,Angostura Reach,8330000,
2000,10,18,7,4.6,15.5,Lemitar,34.16703188,-106.8899486,San Acacia Reach,8354900,
2000,11,21,1,30.5,16.3,Alameda,35.1875,-106.6459,Angostura Reach,8330000,
2000,11,21,2,34.3,41.9,Rio Grande Nature Center,35.127,-106.6854,Angostura Reach,8330000,
2000,11,21,3,25.9,41.9,Los Lunas,34.81236936,-106.714458,Isleta Reach,8331160,
2000,11,21,4,38.1,50.8,Belen,34.6484315,-106.7377022,Isleta Reach,8331510,
2000,11,20,5,31.8,44.5,Santa Ana,35.34284,-106.5458,Cochti Reach,.,
2000,11,21,6,16.8,36.8,Savannah,35.14285294,-106.6819814,Angostura Reach,8330000,
2000,11,22,7,16.5,34,Lemitar,34.16703188,-106.8899486,San Acacia Reach,8354900,
2000,12,19,1,12.7,12.7,Alameda,35.1875,-106.6459,Angostura Reach,8330000,
2000,12,19,2,15.5,18,Rio Grande Nature Center,35.127,-106.6854,Angostura Reach,8330000,
2000,12,19,3,7.9,14.5,Los Lunas,34.81236936,-106.714458,Isleta Reach,8331160,
2000,12,19,4,15.2,15.2,Belen,34.6484315,-106.7377022,Isleta Reach,8331510,
2000,12,20,5,12.7,15.2,Santa Ana,35.34284,-106.5458,Cochti Reach,.,
2000,12,19,6,22.9,10.7,Savannah,35.14285294,-106.6819814,Angostura Reach,8330000,
2000,12,19,7,7.1,8.9,Lemitar,34.16703188,-106.8899486,San Acacia Reach,8354900,
2001,1,16,1,8,11,Alameda,35.1875,-106.6459,Angostura Reach,8330000,
2001,1,16,2,11.2,11.5,Rio Grande Nature Center,35.127,-106.6854,Angostura Reach,8330000,
2001,1,16,3,7,12.5,Los Lunas,34.81236936,-106.714458,Isleta Reach,8331160,
2001,1,16,4,22.5,22.5,Belen,34.6484315,-106.7377022,Isleta Reach,8331510,
2001,1,16,5,4,10,Santa Ana,35.34284,-106.5458,Cochti Reach,.,
2001,1,17,6,10,8.5,Savannah,35.14285294,-106.6819814,Angostura Reach,8330000,
2001,1,17,7,.,.,Lemitar,34.16703188,-106.8899486,San Acacia Reach,8354900,
2001,2,21,1,5,4.8,Alameda,35.1875,-106.6459,Angostura Reach,8330000,
2001,2,20,2,8.6,6.2,Rio Grande Nature Center,35.127,-106.6854,Angostura Reach,8330000,
2001,2,20,3,17.7,21,Los Lunas,34.81236936,-106.714458,Isleta Reach,8331160,
2001,2,20,4,19,1.5,Belen,34.6484315,-106.7377022,Isleta Reach,8331510,
2001,2,20,5,11.7,12.7,Santa Ana,35.34284,-106.5458,Cochti Reach,.,
2001,2,20,6,6,8.5,Savannah,35.14285294,-106.6819814,Angostura Reach,8330000,
2001,2,21,7,16.5,11.2,Lemitar,34.16703188,-106.8899486,San Acacia Reach,8354900,
2001,3,20,1,14,16.5,Alameda,35.1875,-106.6459,Angostura Reach,8330000,
2001,3,20,2,13.2,14.7,Rio Grande Nature Center,35.127,-106.6854,Angostura Reach,8330000,
2001,3,20,3,8,20.5,Los Lunas,34.81236936,-106.714458,Isleta Reach,8331160,
2001,3,20,4,42,20,Belen,34.6484315,-106.7377022,Isleta Reach,8331510,
2001,3,.,5,.,.,Santa Ana,35.34284,-106.5458,Cochti Reach,.,
2001,3,21,6,7.5,12,Savannah,35.14285294,-106.6819814,Angostura Reach,8330000,
2001,3,20,7,24,34,Lemitar,34.16703188,-106.8899486,San Acacia Reach,8354900,
2001,4,17,1,4,1.6,Alameda,35.1875,-106.6459,Angostura Reach,8330000,
2001,4,17,2,4.4,5.8,Rio Grande Nature Center,35.127,-106.6854,Angostura Reach,8330000,
2001,4,17,3,1.8,3.4,Los Lunas,34.81236936,-106.714458,Isleta Reach,8331160,
2001,4,17,4,.,.,Belen,34.6484315,-106.7377022,Isleta Reach,8331510,
2001,4,17,5,3.8,7.6,Santa Ana,35.34284,-106.5458,Cochti Reach,.,
2001,4,18,6,4.3,0.5,Savannah,35.14285294,-106.6819814,Angostura Reach,8330000,
2001,4,18,7,0.2,0.5,Lemitar,34.16703188,-106.8899486,San Acacia Reach,8354900,
2001,5,16,1,.,.,Alameda,35.1875,-106.6459,Angostura Reach,8330000,
2001,5,15,2,4.2,6.4,Rio Grande Nature Center,35.127,-106.6854,Angostura Reach,8330000,
2001,5,15,3,1,1,Los Lunas,34.81236936,-106.714458,Isleta Reach,8331160,
2001,5,15,4,2.5,4,Belen,34.6484315,-106.7377022,Isleta Reach,8331510,
2001,5,16,5,2.5,5,Santa Ana,35.34284,-106.5458,Cochti Reach,.,
2001,5,15,6,5,10,Savannah,35.14285294,-106.6819814,Angostura Reach,8330000,
2001,5,15,7,0.5,2,Lemitar,34.16703188,-106.8899486,San Acacia Reach,8354900,
2001,6,19,1,1,3.8,Alameda,35.1875,-106.6459,Angostura Reach,8330000,
2001,6,19,2,1,3.3,Rio Grande Nature Center,35.127,-106.6854,Angostura Reach,8330000,
2001,6,19,3,0,2,Los Lunas,34.81236936,-106.714458,Isleta Reach,8331160,
2001,6,19,4,1.1,3.2,Belen,34.6484315,-106.7377022,Isleta Reach,8331510,
2001,6,19,5,15,23,Santa Ana,35.34284,-106.5458,Cochti Reach,.,
2001,6,19,6,1.4,1.8,Savannah,35.14285294,-106.6819814,Angostura Reach,8330000,
2001,6,19,7,0.6,3,Lemitar,34.16703188,-106.8899486,San Acacia Reach,8354900,
2001,7,18,1,9,17,Alameda,35.1875,-106.6459,Angostura Reach,8330000,
2001,7,17,2,8.6,14,Rio Grande Nature Center,35.127,-106.6854,Angostura Reach,8330000,
2001,7,17,3,9,17.5,Los Lunas,34.81236936,-106.714458,Isleta Reach,8331160,
2001,7,17,4,7,22,Belen,34.6484315,-106.7377022,Isleta Reach,8331510,
2001,7,.,5,.,.,Santa Ana,35.34284,-106.5458,Cochti Reach,.,
2001,7,17,6,6,11.5,Savannah,35.14285294,-106.6819814,Angostura Reach,8330000,
2001,7,17,7,9.4,12.5,Lemitar,34.16703188,-106.8899486,San Acacia Reach,8354900,
2001,8,21,1,19,34,Alameda,35.1875,-106.6459,Angostura Reach,8330000,
2001,8,22,2,18.5,34.8,Rio Grande Nature Center,35.127,-106.6854,Angostura Reach,8330000,
2001,8,21,3,10,25,Los Lunas,34.81236936,-106.714458,Isleta Reach,8331160,
2001,8,21,4,10,19,Belen,34.6484315,-106.7377022,Isleta Reach,8331510,
2001,8,22,5,67,72.4,Santa Ana,35.34284,-106.5458,Cochti Reach,.,
2001,8,21,6,11,35,Savannah,35.14285294,-106.6819814,Angostura Reach,8330000,
2001,8,22,7,30.2,28.5,Lemitar,34.16703188,-106.8899486,San Acacia Reach,8354900,
2001,9,18,1,3.3,12,Alameda,35.1875,-106.6459,Angostura Reach,8330000,
2001,9,19,2,3.4,7,Rio Grande Nature Center,35.127,-106.6854,Angostura Reach,8330000,
2001,9,18,3,2,6.5,Los Lunas,34.81236936,-106.714458,Isleta Reach,8331160,
2001,9,18,4,9,5.8,Belen,34.6484315,-106.7377022,Isleta Reach,8331510,
2001,9,19,5,3.8,8.9,Santa Ana,35.34284,-106.5458,Cochti Reach,.,
2001,9,18,6,50,40,Savannah,35.14285294,-106.6819814,Angostura Reach,8330000,
2001,9,18,7,2.3,3,Lemitar,34.16703188,-106.8899486,San Acacia Reach,8354900,
2001,10,17,1,1.3,1,Alameda,35.1875,-106.6459,Angostura Reach,8330000,
2001,10,17,2,0,0,Rio Grande Nature Center,35.127,-106.6854,Angostura Reach,8330000,
2001,10,16,3,1,1.8,Los Lunas,34.81236936,-106.714458,Isleta Reach,8331160,
2001,10,16,4,2,0,Belen,34.6484315,-106.7377022,Isleta Reach,8331510,
2001,10,16,5,2,4,Santa Ana,35.34284,-106.5458,Cochti Reach,.,
2001,10,17,6,0,0,Savannah,35.14285294,-106.6819814,Angostura Reach,8330000,
2001,10,.,7,.,.,Lemitar,34.16703188,-106.8899486,San Acacia Reach,8354900,
2001,11,20,1,3.8,6.6,Alameda,35.1875,-106.6459,Angostura Reach,8330000,
2001,11,21,2,4.6,7.6,Rio Grande Nature Center,35.127,-106.6854,Angostura Reach,8330000,
2001,11,20,3,17.5,24,Los Lunas,34.81236936,-106.714458,Isleta Reach,8331160,
2001,11,20,4,15,20,Belen,34.6484315,-106.7377022,Isleta Reach,8331510,
2001,11,20,5,8,0,Santa Ana,35.34284,-106.5458,Cochti Reach,.,
2001,11,20,6,4.8,7,Savannah,35.14285294,-106.6819814,Angostura Reach,8330000,
2001,11,20,7,9.9,20,Lemitar,34.16703188,-106.8899486,San Acacia Reach,8354900,
2001,12,18,1,8,9,Alameda,35.1875,-106.6459,Angostura Reach,8330000,
2001,12,18,2,8,7,Rio Grande Nature Center,35.127,-106.6854,Angostura Reach,8330000,
2001,12,18,3,2.5,2.5,Los Lunas,34.81236936,-106.714458,Isleta Reach,8331160,
2001,12,18,4,4,0,Belen,34.6484315,-106.7377022,Isleta Reach,8331510,
2001,12,18,5,11.4,12.7,Santa Ana,35.34284,-106.5458,Cochti Reach,.,
2001,12,18,6,7,39,Savannah,35.14285294,-106.6819814,Angostura Reach,8330000,
2001,12,18,7,3.4,5,Lemitar,34.16703188,-106.8899486,San Acacia Reach,8354900,
2002,1,15,1,.,9,Alameda,35.1875,-106.6459,Angostura Reach,8330000,
2002,1,16,2,8,9,Rio Grande Nature Center,35.127,-106.6854,Angostura Reach,8330000,
2002,1,15,3,5,12,Los Lunas,34.81236936,-106.714458,Isleta Reach,8331160,
2002,1,15,4,5.5,7.2,Belen,34.6484315,-106.7377022,Isleta Reach,8331510,
2002,1,15,5,10.2,12.7,Santa Ana,35.34284,-106.5458,Cochti Reach,.,
2002,1,16,6,17.5,17.5,Savannah,35.14285294,-106.6819814,Angostura Reach,8330000,
2002,1,15,7,9.9,12.7,Lemitar,34.16703188,-106.8899486,San Acacia Reach,8354900,
2002,1,25,8,.,.,Hispanic Cultural Center,35.06881267,-106.6580575,Angostura Reach,8330000,
2002,2,19,1,5.2,7.9,Alameda,35.1875,-106.6459,Angostura Reach,8330000,
2002,2,19,2,5,5,Rio Grande Nature Center,35.127,-106.6854,Angostura Reach,8330000,
2002,2,19,3,2.5,8.3,Los Lunas,34.81236936,-106.714458,Isleta Reach,8331160,
2002,2,18,4,0.8,1.6,Belen,34.6484315,-106.7377022,Isleta Reach,8331510,
2002,2,19,5,3.2,6,Santa Ana,35.34284,-106.5458,Cochti Reach,.,
