"Date ym","Site number","Site name","Latitude","Longitude","Reaches","Month","Year","monthly cottonwood leaf litterfall g m2","monthly willow leaf litterfall g m2","monthly russian olive leaf litterfall g m2","monthly saltcedar leaf litterfall g m2","monthly elm leaf litterfall g m2","monthly seep willow leaf litterfall g m2","monthly new mexico olive leaf litterfall g m2","monthly indigo bush leaf litterfall g m2","monthly total litterfall g m2","monthly woodfall g m2","monthly cottonwood reproductive litterfall g m2","monthly willow reproductive litterfall g m2","monthly russian olive reproductive litterfall g m2","monthly elm reproductive litterfall g m2","monthly saltcedar reproductive litterfall g m2","monthly total reproductive litterfall g m2"
Sep 1998,1,"Alameda",35.1880598884,-106.646949118,"Angostura Reach",9,1998,5.18,0.19,0,0,0.05,0,4.65,0,2.13,5.67,.,.,.,.,.,0.08
Sep 1998,2,"Rio Grande Nature Center",35.1267624154,-106.688450012,"Angostura Reach",9,1998,6,0,1.62,0,0,0.01,0,0,1.41,0.8,.,.,.,.,.,0.2
Sep 1998,3,"Los Lunas",34.8123850767529,-106.714471968474,"Isleta Reach",9,1998,21.76,0.7,0.63,0,0.02,0.02,0.04,0,3.59,3.64,.,.,.,.,.,0
Sep 1998,4,"Belen",34.6481124155284,-106.737727748983,"Isleta Reach",9,1998,7.08,4.69,14,0,0,0,0,0,3.64,0.85,.,.,.,.,.,0.18
Oct 1998,1,"Alameda",35.1880598884,-106.646949118,"Angostura Reach",10,1998,12.7,0.58,0,0.01,3.08,0,22.66,0,8.59,26.19,.,.,.,.,.,0.01
Oct 1998,2,"Rio Grande Nature Center",35.1267624154,-106.688450012,"Angostura Reach",10,1998,15.62,0,0.08,0,0,0,0,0,2.57,2.75,.,.,.,.,.,0.01
Oct 1998,3,"Los Lunas",34.8123850767529,-106.714471968474,"Isleta Reach",10,1998,42.38,7.36,0.38,0,0.16,0,1.01,0,26.05,142.85,.,.,.,.,.,0.19
Oct 1998,4,"Belen",34.6481124155284,-106.737727748983,"Isleta Reach",10,1998,10.31,17.48,19.39,0,0,0,0,0,6.46,2,.,.,.,.,.,0.02
Nov 1998,1,"Alameda",35.1880598884,-106.646949118,"Angostura Reach",11,1998,41.88,0.84,0.01,0,2.18,0,15.48,0,9.48,4.41,.,.,.,.,.,0.91
Nov 1998,2,"Rio Grande Nature Center",35.1267624154,-106.688450012,"Angostura Reach",11,1998,68.46,0,6,0,0,0,0,0,27.68,137.69,.,.,.,.,.,0
Nov 1998,3,"Los Lunas",34.8123850767529,-106.714471968474,"Isleta Reach",11,1998,56.92,8.85,0.22,0,1.06,0,0.2,0,11.53,7.9,.,.,.,.,.,0
Nov 1998,4,"Belen",34.6481124155284,-106.737727748983,"Isleta Reach",11,1998,11.85,21.15,16.08,0,0,0,0,0,6.56,1,.,.,.,.,.,0.02
Dec 1998,1,"Alameda",35.1880598884,-106.646949118,"Angostura Reach",12,1998,35.51,0.3,0.24,0.01,4.89,0,1.2,0,6.49,6.51,.,.,.,.,.,0.08
Dec 1998,2,"Rio Grande Nature Center",35.1267624154,-106.688450012,"Angostura Reach",12,1998,16.92,0,0.77,0.01,0,0,0,0,2.43,0.32,.,.,.,.,.,0.02
Dec 1998,3,"Los Lunas",34.8123850767529,-106.714471968474,"Isleta Reach",12,1998,20.27,4.12,0.43,0,0.01,0,0,0,3.87,3.58,.,.,.,.,.,0
Dec 1998,4,"Belen",34.6481124155284,-106.737727748983,"Isleta Reach",12,1998,1.4,4.1,14.04,0,0,0,0,0,2.63,0.17,.,.,.,.,.,0.01
Jan 1999,1,"Alameda",35.1880598884,-106.646949118,"Angostura Reach",1,1999,64.49,1.95,2.69,0.53,0.4,0,0.03,0,10.17,7.44,.,.,.,.,.,0.05
Jan 1999,2,"Rio Grande Nature Center",35.1267624154,-106.688450012,"Angostura Reach",1,1999,28.85,0,0.01,1.35,0,0,0,0,4.21,1.07,.,.,.,.,.,0.14
Jan 1999,3,"Los Lunas",34.8123850767529,-106.714471968474,"Isleta Reach",1,1999,19.35,0.06,0.43,0,0,0,0,0,2.89,1.51,.,.,.,.,.,0.06
Jan 1999,4,"Belen",34.6481124155284,-106.737727748983,"Isleta Reach",1,1999,0.31,0.19,4.15,0,0,0,0,0,0.66,0.28,.,.,.,.,.,0
Feb 1999,1,"Alameda",35.1880598884,-106.646949118,"Angostura Reach",2,1999,50.88,0.01,0.08,0.04,0.46,0,0.63,0,7.89,8.25,.,.,.,.,.,0.02
Feb 1999,2,"Rio Grande Nature Center",35.1267624154,-106.688450012,"Angostura Reach",2,1999,10.01,0,0,0.01,0,0,0,0,1.66,2.51,.,.,.,.,.,0
Feb 1999,3,"Los Lunas",34.8123850767529,-106.714471968474,"Isleta Reach",2,1999,4.92,0.33,0.02,0,0,0,0,0,0.98,1.79,.,.,.,.,.,0
Feb 1999,4,"Belen",34.6481124155284,-106.737727748983,"Isleta Reach",2,1999,0,0.13,0.97,0.01,0,0,0,0,0.54,1.61,.,.,.,.,.,0.17
Mar 1999,1,"Alameda",35.1880598884,-106.646949118,"Angostura Reach",3,1999,5.62,0,0,0,0.23,0,0,0,1.61,5.54,.,.,.,.,.,0.11
Mar 1999,2,"Rio Grande Nature Center",35.1267624154,-106.688450012,"Angostura Reach",3,1999,3.92,0,0.02,0,0,0,0,0,0.65,0.72,.,.,.,.,.,0.01
Mar 1999,3,"Los Lunas",34.8123850767529,-106.714471968474,"Isleta Reach",3,1999,1.8,0.09,0.01,0,0.01,0,0,0,0.26,0,.,.,.,.,.,0
Mar 1999,4,"Belen",34.6481124155284,-106.737727748983,"Isleta Reach",3,1999,0,0.04,0.02,0,0,0,0,0,0.23,0.5,.,.,.,.,.,0.09
Apr 1999,1,"Alameda",35.1880598884,-106.646949118,"Angostura Reach",4,1999,12.54,0.01,0,0.01,0.23,0,0.01,0,5.84,28.67,.,.,.,.,.,0.29
Apr 1999,2,"Rio Grande Nature Center",35.1267624154,-106.688450012,"Angostura Reach",4,1999,3.1,0,0.15,0.02,1.24,0,0,0,2.75,10.65,.,.,.,.,.,0.73
Apr 1999,3,"Los Lunas",34.8123850767529,-106.714471968474,"Isleta Reach",4,1999,1.16,0.16,0,0,0,0,0,0,16.3,118.62,.,.,.,.,.,0.59
Apr 1999,4,"Belen",34.6481124155284,-106.737727748983,"Isleta Reach",4,1999,0.01,0.08,0.16,0,0,0,0,0,0.58,3.71,.,.,.,.,.,0.06
May 1999,1,"Alameda",35.1880598884,-106.646949118,"Angostura Reach",5,1999,3.85,0.11,0.13,0,0,0,0.89,0,7.37,34.31,.,.,.,.,.,1.89
May 1999,2,"Rio Grande Nature Center",35.1267624154,-106.688450012,"Angostura Reach",5,1999,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
May 1999,3,"Los Lunas",34.8123850767529,-106.714471968474,"Isleta Reach",5,1999,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
May 1999,4,"Belen",34.6481124155284,-106.737727748983,"Isleta Reach",5,1999,0.02,0.02,2.49,0,0,0,0,0,1.48,7.55,.,.,.,.,.,0.1
Jun 1999,1,"Alameda",35.1880598884,-106.646949118,"Angostura Reach",6,1999,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
Jun 1999,2,"Rio Grande Nature Center",35.1267624154,-106.688450012,"Angostura Reach",6,1999,1.95,0,0.11,0.02,0,0,0,0,13.96,104.23,.,.,.,.,.,0.1
Jun 1999,3,"Los Lunas",34.8123850767529,-106.714471968474,"Isleta Reach",6,1999,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
Jun 1999,4,"Belen",34.6481124155284,-106.737727748983,"Isleta Reach",6,1999,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
Jul 1999,1,"Alameda",35.1880598884,-106.646949118,"Angostura Reach",7,1999,3.78,0.09,0.09,0,1.56,0,0.1,0,3.24,4.09,.,.,.,.,.,1.83
Jul 1999,2,"Rio Grande Nature Center",35.1267624154,-106.688450012,"Angostura Reach",7,1999,1.57,0.03,0.61,0,0,0,0,0,6.56,43.35,.,.,.,.,.,0.53
Jul 1999,3,"Los Lunas",34.8123850767529,-106.714471968474,"Isleta Reach",7,1999,6.93,0.26,0,0,0.23,0,0,0,3.47,4,.,.,.,.,.,1.97
Jul 1999,4,"Belen",34.6481124155284,-106.737727748983,"Isleta Reach",7,1999,1.31,0.31,4.62,0,0,0,0,0,1.72,0.92,.,.,.,.,.,0.78
Aug 1999,1,"Alameda",35.1880598884,-106.646949118,"Angostura Reach",8,1999,0.94,0,0,0,0.16,0,3.42,0,5.37,34.02,.,.,.,.,.,0.22
Aug 1999,2,"Rio Grande Nature Center",35.1267624154,-106.688450012,"Angostura Reach",8,1999,0.63,0.01,1.15,0,0,0,0,0,0.81,3.26,.,.,.,.,.,0.09
Aug 1999,3,"Los Lunas",34.8123850767529,-106.714471968474,"Isleta Reach",8,1999,0.99,0.57,0.01,0,0.11,0,0,0,0.33,0.44,.,.,.,.,.,0.03
Aug 1999,4,"Belen",34.6481124155284,-106.737727748983,"Isleta Reach",8,1999,5.85,1.79,10.85,0,0,0,0,0,3.32,0.55,.,.,.,.,.,0.83
Aug 1999,5,"Santa Ana",35.34284,-106.5458,"Angostura Reach",8,1999,1.72,0,0,0.31,0,0,0,0,6.92,47.57,.,.,.,.,.,0.42
Sep 1999,1,"Alameda",35.1880598884,-106.646949118,"Angostura Reach",9,1999,9.01,0.01,0.39,0,0.02,0,12.47,0,4.29,1.62,.,.,.,.,.,1.22
Sep 1999,2,"Rio Grande Nature Center",35.1267624154,-106.688450012,"Angostura Reach",9,1999,10.77,0,1.64,1.69,0,0,0,0,2.49,3.25,.,.,.,.,.,0.16
Sep 1999,3,"Los Lunas",34.8123850767529,-106.714471968474,"Isleta Reach",9,1999,37.46,1.33,0.17,0,0.25,0,0.72,0,5.45,0.85,.,.,.,.,.,0.05
Sep 1999,4,"Belen",34.6481124155284,-106.737727748983,"Isleta Reach",9,1999,15.4,4.92,16,0,0,0,0,0,5.33,1.46,.,.,.,.,.,0.37
Sep 1999,5,"Santa Ana",35.34284,-106.5458,"Angostura Reach",9,1999,8.13,0,0,0,0,0,0,0,1.3,0.7,.,.,.,.,.,0.12
Oct 1999,1,"Alameda",35.1880598884,-106.646949118,"Angostura Reach",10,1999,26.68,0.01,0.36,0.01,0.89,0,10.86,0,8.27,21.56,.,.,.,.,.,0
Oct 1999,2,"Rio Grande Nature Center",35.1267624154,-106.688450012,"Angostura Reach",10,1999,75.69,0.24,1.55,0.09,0.01,0,0,0,10.52,1.85,.,.,.,.,.,0.06
Oct 1999,3,"Los Lunas",34.8123850767529,-106.714471968474,"Isleta Reach",10,1999,91.61,9.62,0,0,0.15,0,0.08,0,15.08,5.19,.,.,.,.,.,0.18
Oct 1999,4,"Belen",34.6481124155284,-106.737727748983,"Isleta Reach",10,1999,28.15,9.01,28.46,0,0.01,0,0,0,8.95,0.63,.,.,.,.,.,0.29
Oct 1999,5,"Santa Ana",35.34284,-106.5458,"Angostura Reach",10,1999,69.92,0,0,0,0,0,0,0,9.85,5.55,.,.,.,.,.,0
Nov 1999,1,"Alameda",35.1880598884,-106.646949118,"Angostura Reach",11,1999,49.06,0.09,0.35,0,5.31,0.34,5.73,0,9.5,11.88,.,.,.,.,.,0
Nov 1999,2,"Rio Grande Nature Center",35.1267624154,-106.688450012,"Angostura Reach",11,1999,117.08,0.08,1.86,0.01,0,0,0,0,16.14,3.64,.,.,.,.,.,0.01
Nov 1999,3,"Los Lunas",34.8123850767529,-106.714471968474,"Isleta Reach",11,1999,70,5.69,0.24,0,0.77,0,0.4,0,11.79,1,.,.,.,.,.,0.01
Nov 1999,4,"Belen",34.6481124155284,-106.737727748983,"Isleta Reach",11,1999,13.65,25.93,16.32,0,0,0,0,0,7.58,1.26,.,.,.,.,.,0.03
Nov 1999,5,"Santa Ana",35.34284,-106.5458,"Angostura Reach",11,1999,125.81,0,0,0,0,0,0,0,16.84,2.65,.,.,.,.,.,0
Dec 1999,1,"Alameda",35.1880598884,-106.646949118,"Angostura Reach",12,1999,55.38,0.62,0.49,0.11,3.62,0,0.26,0,9.95,15.49,.,.,.,.,.,0.01
Dec 1999,2,"Rio Grande Nature Center",35.1267624154,-106.688450012,"Angostura Reach",12,1999,15.69,0.01,1.64,0.02,0,0,0,0,2.45,1.12,.,.,.,.,.,0
Dec 1999,3,"Los Lunas",34.8123850767529,-106.714471968474,"Isleta Reach",12,1999,60.62,4.63,2.02,0.02,0,0,0,0,9.3,2.49,.,.,.,.,.,0.04
Dec 1999,4,"Belen",34.6481124155284,-106.737727748983,"Isleta Reach",12,1999,1.55,4.79,24.44,0,0,0,0,0,4.24,0.21,.,.,.,.,.,0.02
Dec 1999,5,"Santa Ana",35.34284,-106.5458,"Angostura Reach",12,1999,153.31,0,0,0,0.01,0,0,0,20.64,5.24,.,.,.,.,.,0
Jan 2000,1,"Alameda",35.1880598884,-106.646949118,"Angostura Reach",1,2000,21.61,0,0.02,0.01,0.39,0,0.02,0,3.94,7.62,.,.,.,.,.,0
Jan 2000,2,"Rio Grande Nature Center",35.1267624154,-106.688450012,"Angostura Reach",1,2000,10.33,0,0.33,0.01,0,0,0,0,1.67,1.96,.,.,.,.,.,0.01
