year,site,dbh_n,dbh_site_avg
2010,6,24,76
2010,7,14,264
2010,8,14,450
2010,10,11,241
2010,11,20,325
2010,12,11,441
2010,13,14,64
2010,14,118,89
2010,15,3,300
2010,16,21,77
2010,17,13,252
2010,18,15,323
2010,20,17,203
2010,21,7,721
2010,22,14,371
2010,23,20,335
2010,25,8433,25
2011,1,27,487
2011,2,57,264
2011,3,6,983
2011,4,164,81
2011,5,65,296
2011,6,24,76
2011,7,14,264
2011,8,14,450
2011,9,8,41
2011,10,11,241
2011,11,20,325
2011,12,11,441
2011,13,14,64
2011,14,118,89
2011,15,3,300
2011,16,21,77
2011,17,13,252
2011,18,15,323
2011,19,33,353
2011,20,17,203
2011,21,7,721
2011,22,14,371
2011,23,20,335
2011,24,19,366
2011,25,7208,25
2012,1,27,487
2012,2,57,264
2012,3,6,983
2012,4,164,81
2012,5,65,296
2012,6,24,76
2012,7,14,264
2012,8,14,450
2012,9,8,41
2012,10,11,241
2012,11,20,325
2012,12,11,441
2012,13,127,44
2012,14,118,89
2012,15,3,300
2012,16,21,77
2012,17,13,252
2012,18,15,323
2012,19,33,353
2012,20,17,203
2012,21,7,721
2012,22,14,371
2012,23,20,335
2012,24,19,366
2012,25,5992,25
2013,1,27,487
2013,2,57,264
2013,3,6,983
2013,4,164,81
2013,5,65,296
2013,6,24,76
2013,7,14,264
2013,8,14,450
2013,9,8,41
2013,10,11,241
2013,11,20,325
2013,12,11,441
2013,13,127,44
2013,14,118,89
2013,15,3,300
2013,16,21,77
2013,17,13,252
2013,18,15,323
2013,19,26,412
2013,20,17,203
2013,21,9,694
2013,22,14,371
2013,23,20,335
2013,24,19,366
2013,25,5992,25
2014,1,27,487
2014,2,57,264
2014,3,6,983
2014,4,100,81
2014,5,65,296
2014,6,24,76
2014,7,14,264
2014,8,14,450
2014,9,8,41
2014,10,104,43
2014,11,20,325
2014,12,11,441
2014,13,127,44
2014,14,118,89
2014,15,3,300
2014,16,21,77
2014,17,13,252
2014,18,15,323
2014,19,26,412
2014,20,17,203
2014,21,9,694
2014,22,14,371
2014,23,20,335
2014,24,19,366
2014,25,5992,25
2014,28,0,0
2014,30,5,470
2015,1,32,516
2015,2,55,272
2015,3,9,894
2015,4,72,193
2015,5,65,296
2015,6,20,135
2015,7,14,264
2015,8,18,550
2015,9,8,41
2015,10,104,43
2015,11,20,345
2015,12,15,383
2015,13,127,44
2015,14,118,89
2015,15,3,300
2015,16,21,77
2015,17,13,252
2015,18,15,323
2015,19,26,412
2015,20,17,203
2015,21,9,672
2015,22,13,412
2015,23,23,385
2015,24,19,366
2015,25,5992,25
2015,29,236,29
2015,30,5,470
2016,1,32,516
2016,2,55,272
2016,3,9,894
2016,4,72,193
2016,5,29,388
2016,6,20,135
2016,7,11,295
2016,8,18,550
2016,10,104,43
2016,11,20,345
2016,12,15,383
2016,13,127,44
2016,14,76,138
2016,15,3,300
2016,16,21,77
2016,17,13,252
2016,18,40,192
2016,19,26,412
2016,20,17,203
2016,21,9,672
2016,22,13,412
2016,23,23,385
2016,24,19,366
2016,25,3151,25
2016,26,NA,NA
2016,27,39,253
2016,28,0,0
2016,29,236,29
2016,30,5,470
2016,31,9,317
2016,32,0,0
2017,1,32,516
2017,2,55,272
2017,3,9,894
2017,4,72,193
2017,5,29,388
2017,6,20,135
2017,7,11,295
2017,8,18,550
2017,10,104,43
2017,11,20,345
2017,12,15,383
2017,13,127,44
2017,14,76,138
2017,15,3,300
2017,16,21,77
2017,17,13,252
2017,18,40,192
2017,19,26,412
2017,20,17,203
2017,21,9,672
2017,22,13,412
2017,23,23,385
2017,24,19,366
2017,25,3151,25
2017,26,NA,NA
2017,27,39,253
2017,28,0,0
2017,29,236,29
2017,30,158,25
2017,31,9,317
2017,32,0,0
