Site number,Site name,History,Year,Install month,Flood,Fire,Cleared,Flooding,cottonwood age,Cottonwood age structure
4,Belen,,2001,.,0,0,0,flood,young,Mature-mixed
4,Belen,,2002,.,0,0,0,flood,young,Mature-mixed
4,Belen,,2003,.,0,0,0,flood,young,Mature-mixed
4,Belen,Overbank flood,2004,.,1,0,0,flood,young,Mature-mixed
4,Belen,Flood,2005,.,1,0,0,flood,young,Mature-mixed
4,Belen,,2006,.,0,0,0,flood,young,Mature-mixed
4,Belen,Fire western edge,2007,.,0,1,0,flood,young,Mature-mixed
4,Belen,,2008,.,0,0,0,flood,young,Mature-mixed
4,Belen,Bank lowering flood,2009,.,1,0,0,flood,young,Mature-mixed
4,Belen,Flood,2010,.,1,0,0,flood,young,Mature-mixed
4,Belen,,2011,.,0,0,0,flood,mature,Mature-mixed
4,Belen,,2012,.,0,0,0,flood,mature,Mature-mixed
