Site name,Year,Latitude,Unique species
Diversion,2007,35.191618922399996,37
Diversion,2008,35.191618922399996,28
Diversion,2009,35.191618922399996,37
Diversion,2010,35.191618922399996,37
Diversion,2011,35.191618922399996,24
Diversion,2012,35.191618922399996,34
Diversion,2013,35.191618922399996,37
Diversion,2014,35.191618922399996,47
Diversion,2015,35.191618922399996,54
Diversion,2016,35.191618922399996,43
Diversion,2017,35.191618922399996,34
Diversion,2018,35.191618922399996,40
Diversion,2019,35.191618922399996,43
Diversion,2020,35.191618922399996,28
Diversion,2021,35.191618922399996,35
Diversion,2022,35.191618922399996,36
Diversion,2023,35.191618922399996,33
Harrison,2004,35.0150622305,34
Harrison,2005,35.0150622305,43
Harrison,2006,35.0150622305,43
Harrison,2007,35.0150622305,43
Harrison,2008,35.0150622305,52
Harrison,2009,35.0150622305,47
Harrison,2010,35.0150622305,47
Harrison,2011,35.0150622305,37
Harrison,2012,35.0150622305,63
Harrison,2013,35.0150622305,58
Harrison,2014,35.0150622305,58
Harrison,2015,35.0150622305,59
Harrison,2016,35.0150622305,61
Harrison,2017,35.0150622305,53
Harrison,2018,35.0150622305,42
Harrison,2019,35.0150622305,43
Harrison,2020,35.0150622305,38
Harrison,2021,35.0150622305,25
Harrison,2022,35.0150622305,31
Harrison,2023,35.0150622305,26
Hispanic Cultural Center,2002,35.0688083802,13
Hispanic Cultural Center,2003,35.0688083802,18
Hispanic Cultural Center,2004,35.0688083802,12
Hispanic Cultural Center,2005,35.0688083802,21
Hispanic Cultural Center,2006,35.0688083802,34
Hispanic Cultural Center,2007,35.0688083802,31
Hispanic Cultural Center,2008,35.0688083802,35
Hispanic Cultural Center,2009,35.0688083802,33
Hispanic Cultural Center,2010,35.0688083802,41
Hispanic Cultural Center,2011,35.0688083802,35
Hispanic Cultural Center,2012,35.0688083802,35
Hispanic Cultural Center,2013,35.0688083802,36
Hispanic Cultural Center,2014,35.0688083802,39
Hispanic Cultural Center,2015,35.0688083802,28
Hispanic Cultural Center,2016,35.0688083802,26
Hispanic Cultural Center,2017,35.0688083802,35
Hispanic Cultural Center,2018,35.0688083802,27
Hispanic Cultural Center,2019,35.0688083802,37
Hispanic Cultural Center,2020,35.0688083802,34
Hispanic Cultural Center,2021,35.0688083802,22
Lemitar,2000,34.1670457032,23
Lemitar,2001,34.1670457032,26
Lemitar,2002,34.1670457032,25
Lemitar,2003,34.1670457032,15
Lemitar,2004,34.1670457032,26
Lemitar,2005,34.1670457032,25
Lemitar,2006,34.1670457032,31
Lemitar,2007,34.1670457032,22
Lemitar,2008,34.1670457032,23
Lemitar,2009,34.1670457032,21
Lemitar,2010,34.1670457032,26
Lemitar,2011,34.1670457032,21
Lemitar,2012,34.1670457032,28
Lemitar,2013,34.1670457032,26
Lemitar,2014,34.1670457032,21
Lemitar,2015,34.1670457032,24
Lemitar,2016,34.1670457032,32
Lemitar,2017,34.1670457032,30
Lemitar,2018,34.1670457032,10
Lemitar,2019,34.1670457032,23
Lemitar,2020,34.1670457032,27
Lemitar,2021,34.1670457032,35
Lemitar,2022,34.1670457032,31
Lemitar,2023,34.1670457032,21
Los Lunas,2000,34.8123850767529,21
Los Lunas,2001,34.8123850767529,24
Los Lunas,2002,34.8123850767529,19
Los Lunas,2003,34.8123850767529,21
Los Lunas,2004,34.8123850767529,21
Los Lunas,2005,34.8123850767529,19
