Year,Site number,Site name,Latitude,Longitude,Annual mean depth to groundwater cm,Lag of mean annual depth to groundwater
2006,7,Lemitar,34.167,-106.8899,-270.54791666666665,-266.5951388888889
2006,8,Hispanic Cultural Center,35.0688,-106.6581,-138.21818181818182,-124.4
2006,10,Diversion,35.1908,-106.6429,-251.32727272727274,-233.6256944444444
2006,11,Calabacillas,35.1906,-106.6492,-127.99666666666667,-126.714696969697
2006,12,Minnow,35.1932,-106.6469,-128.91666666666666,-146.74772727272727
2006,13,Harrison,35.0151,-106.6737,-127.275,-105.11818181818182
2006,14,Sevilleta,34.2583,-106.8832,-126.55,-128.13333333333333
2006,15,Valencia Cleared,34.6486,-106.7392,-96.2909090909091,-80.34166666666667
2006,16,Valencia Forest,34.6472,-106.7385,-159.08333333333334,-137.17083333333332
2006,17,Montano,35.1453,-106.6804,-185.30375,-171.33333333333334
2006,18,Reynolds Cleared,34.6597,-106.7421,-142.97222222222226,-108.175
2006,19,Reynolds Forest,34.6605,-106.743,-130.22083333333333,-102.41666666666667
2006,20,Route 66,35.1006,-106.6915,-106.26666666666667,-100.49090909090908
2006,21,Badger,35.1956,-106.6402,-263.68333333333334,-244.29166666666666
2006,22,Bobcat,35.1971,-106.6439,-142.69375,-130.36666666666667
2007,1,Alameda,35.1875,-106.6459,-265.87166666666667,-277.07222222222225
2007,2,Rio Grande Nature Center,35.127,-106.6854,-201.835,-202.01666666666668
2007,3,Los Lunas,34.8124,-106.7145,-127.185,-125.43333333333334
2007,4,Belen,34.6484,-106.7377,-116.55,-121.98333333333333
2007,6,Savannah,35.1429,-106.682,-119.99958333333333,-127.78363636363636
2007,7,Lemitar,34.167,-106.8899,-261.36375,-270.54791666666665
2007,8,Hispanic Cultural Center,35.0688,-106.6581,-134.16166666666666,-138.21818181818182
2007,10,Diversion,35.1908,-106.6429,-223.79833333333335,-251.32727272727274
2007,11,Calabacillas,35.1906,-106.6492,-126.39666666666666,-127.99666666666667
2007,12,Minnow,35.1932,-106.6469,-126.57166666666667,-128.91666666666666
2007,13,Harrison,35.0151,-106.6737,-99.965,-127.275
2007,14,Sevilleta,34.2583,-106.8832,-131.29,-126.55
2007,15,Valencia Cleared,34.6486,-106.7392,-94.5,-96.2909090909091
2007,16,Valencia Forest,34.6472,-106.7385,-151.74333333333334,-159.08333333333334
2007,17,Montano,35.1453,-106.6804,-175.6,-185.30375
2007,18,Reynolds Cleared,34.6597,-106.7421,-134.025,-142.97222222222226
2007,19,Reynolds Forest,34.6605,-106.743,-122.75833333333334,-130.22083333333333
2007,20,Route 66,35.1006,-106.6915,-104.85227272727272,-106.26666666666667
2007,21,Badger,35.1956,-106.6402,-255.51875,-263.68333333333334
2007,22,Bobcat,35.1971,-106.6439,-127.18125,-142.69375
2007,23,BioPark,35.079,-106.668,-144.33,.
2008,1,Alameda,35.1875,-106.6459,-263.0183333333333,-265.87166666666667
2008,2,Rio Grande Nature Center,35.127,-106.6854,-197.82833333333332,-201.835
2008,3,Los Lunas,34.8124,-106.7145,-122.025,-127.185
2008,4,Belen,34.6484,-106.7377,-99.77916666666667,-116.55
2008,6,Savannah,35.1429,-106.682,-109.695,-119.99958333333333
2008,7,Lemitar,34.167,-106.8899,-259.98097222222225,-261.36375
2008,8,Hispanic Cultural Center,35.0688,-106.6581,-123.83166666666666,-134.16166666666666
2008,10,Diversion,35.1908,-106.6429,-220.13833333333332,-223.79833333333335
2008,11,Calabacillas,35.1906,-106.6492,-120.355,-126.39666666666666
2008,12,Minnow,35.1932,-106.6469,-119.62666666666667,-126.57166666666667
2008,13,Harrison,35.0151,-106.6737,-86.47166666666666,-99.965
2008,14,Sevilleta,34.2583,-106.8832,-109.66333333333334,-131.29
2008,15,Valencia Cleared,34.6486,-106.7392,-80.86458333333333,-94.5
2008,16,Valencia Forest,34.6472,-106.7385,-136.02736111111116,-151.74333333333334
